PMID,year,type,num_citations,num_authors,authors,institutions,c04_referencelist,subfield,field,domain,sustainable_development_goals,keyword_analysis,collaborative_index,license,journal_impact_factor,citations_geographical,page_count,publisher,apc_paid,open_access_status,Novelty
27433059,2016,article,344,4,"['Robert Laurie', 'Yuko Nonoyama‐Tarumi', 'Rosalyn McKeown', 'Charles Hopkins']","['University of New Brunswick', 'Waseda University', 'York University', 'York University']","[{'item': 8325192}, {'item': 3345739}, {'item': 67558890}, {'item': 98372557}, {'item': 40474350}, {'item': 41735412}, {'item': 64898004}, {'item': 71426506}, {'item': 34753272}, {'item': 25488636}, {'item': 98640319}, {'item': 90926565}]",Education for sustainable development,Curriculum,Sustainability,"[{'display_name': 'Quality education', 'id': 'https://metadata.un.org/sdg/4', 'score': 0.5}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-2.201561615064692
3717632,2016,article,298,5,"['Faizan Ali', 'Yuan Zhou', 'Kashif Hussain', 'Pradeep Nair', 'Neethiahnanthan Ari Ragavan']","['University of Technology Malaysia', 'North Minzu University', ""Taylor's University"", ""Taylor's University"", ""Taylor's University""]","[{'item': 29388977}, {'item': 41855897}, {'item': 52755115}, {'item': 23703701}, {'item': 4933422}, {'item': 93754431}, {'item': 25245692}, {'item': 40546721}, {'item': 31436315}, {'item': 73772574}, {'item': 73886950}, {'item': 8317804}, {'item': 65412046}, {'item': 86466750}, {'item': 37204692}, {'item': 62761952}, {'item': 9406601}, {'item': 61843642}, {'item': 45651684}, {'item': 14886612}, {'item': 50705409}, {'item': 36530150}, {'item': 39551127}, {'item': 31217382}, {'item': 39673707}, {'item': 65672856}, {'item': 21369395}, {'item': 75431180}, {'item': 37106945}, {'item': 52626792}, {'item': 80250765}, {'item': 32884174}, {'item': 2592501}, {'item': 18478045}, {'item': 72307295}, {'item': 72733348}, {'item': 66134387}, {'item': 407237}, {'item': 73757133}, {'item': 96352579}, {'item': 48066552}, {'item': 46708178}, {'item': 55023383}, {'item': 66253057}, {'item': 49022730}, {'item': 424656}, {'item': 3486072}, {'item': 80055681}, {'item': 60523395}, {'item': 24793727}, {'item': 14670270}, {'item': 9067842}, {'item': 67715040}, {'item': 16885273}, {'item': 31430019}, {'item': 213950}, {'item': 64394253}, {'item': 22356084}, {'item': 94623726}, {'item': 49233284}, {'item': 17110147}, {'item': 1890738}, {'item': 1773086}, {'item': 21951130}, {'item': 675241}, {'item': 7231297}, {'item': 34626214}, {'item': 18306625}, {'item': 57545830}, {'item': 74230541}, {'item': 58260461}, {'item': 1351856}, {'item': 89302148}, {'item': 91856134}, {'item': 95298690}, {'item': 53949477}, {'item': 73615692}, {'item': 87273070}, {'item': 87731839}, {'item': 69478427}, {'item': 23647875}, {'item': 90968661}, {'item': 49102298}, {'item': 99969193}, {'item': 89340253}, {'item': 97582672}, {'item': 91930576}, {'item': 44883262}, {'item': 61855677}, {'item': 26777920}, {'item': 97383816}, {'item': 71496907}, {'item': 41741549}, {'item': 85970052}, {'item': 90926565}, {'item': 77473062}, {'item': 82964813}, {'item': 37707821}, {'item': 96155568}]",Loyalty,Service quality,Higher education,[],Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-1.5839968765508583
1652357,2016,article,242,2,"['Husain Salilul Akareem', 'Syed Shahadat Hossain']","['Queensland University of Technology', 'University of Dhaka']","[{'item': 68855825}, {'item': 36297820}, {'item': 68878393}, {'item': 9519364}, {'item': 65213583}, {'item': 78222988}, {'item': 8886329}, {'item': 55560157}, {'item': 86983846}, {'item': 54343527}, {'item': 66172584}, {'item': 70674159}, {'item': 21047102}, {'item': 82911110}, {'item': 13574582}, {'item': 67173333}, {'item': 38183990}, {'item': 70151770}, {'item': 17564287}, {'item': 72557114}, {'item': 18737030}, {'item': 63349964}, {'item': 23139221}, {'item': 57939039}, {'item': 33162942}, {'item': 89214905}, {'item': 89320178}, {'item': 21239302}, {'item': 76953203}, {'item': 19911589}, {'item': 56207088}, {'item': 37462669}, {'item': 18981849}, {'item': 22385529}, {'item': 42154840}, {'item': 31881136}, {'item': 27135133}]",Higher education,Perception,Quality (philosophy),"[{'display_name': 'Quality education', 'id': 'https://metadata.un.org/sdg/4', 'score': 0.51}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,"{'value': 900, 'currency': 'USD', 'value_usd': 900, 'provenance': 'doaj'}",Missing,-3.3255495804130364
42892940,2016,article,197,3,"['Viraiyan Teeroovengadum', 'T.J. Kamalanabhan', 'Ashley Keshwar Seebaluck']","['University of Mauritius', 'Indian Institute of Technology Madras', 'University of Mauritius']","[{'item': 96263168}, {'item': 99544512}, {'item': 63972663}, {'item': 25979716}, {'item': 80841918}, {'item': 94137419}, {'item': 6798777}, {'item': 33574301}, {'item': 8317804}, {'item': 34469559}, {'item': 3719523}, {'item': 74861658}, {'item': 96688588}, {'item': 36718303}, {'item': 26315505}, {'item': 11782588}, {'item': 17810856}, {'item': 59477881}, {'item': 91884864}, {'item': 46894293}, {'item': 97092460}, {'item': 7901922}, {'item': 53276138}, {'item': 52626792}, {'item': 18025949}, {'item': 45800744}, {'item': 12470486}, {'item': 53255091}, {'item': 25176941}, {'item': 53393063}, {'item': 56362455}, {'item': 9310646}, {'item': 97011105}, {'item': 14799024}, {'item': 10461512}, {'item': 77879746}, {'item': 44503614}, {'item': 257227}, {'item': 66134387}, {'item': 60539376}, {'item': 80802484}, {'item': 88451597}, {'item': 68821740}, {'item': 63005522}, {'item': 38659861}, {'item': 52246474}, {'item': 94219433}, {'item': 91173141}, {'item': 96793703}, {'item': 80535822}, {'item': 494905}, {'item': 49022730}, {'item': 10309327}, {'item': 33206559}, {'item': 21047102}, {'item': 26706023}, {'item': 68888294}, {'item': 5482870}, {'item': 41698139}, {'item': 11893634}, {'item': 81864128}, {'item': 89132778}, {'item': 59591492}, {'item': 55213228}, {'item': 34310393}, {'item': 83370052}, {'item': 81182345}, {'item': 6681061}, {'item': 48717639}, {'item': 30335881}, {'item': 34626214}, {'item': 29932603}, {'item': 69126753}, {'item': 6633742}, {'item': 80025932}, {'item': 84152177}, {'item': 81693173}, {'item': 19487419}, {'item': 87731839}, {'item': 31858239}, {'item': 74609486}, {'item': 27269176}, {'item': 97507698}, {'item': 91057654}, {'item': 42356381}, {'item': 45134476}]",Cronbach's alpha,Exploratory factor analysis,Quality (philosophy),[],Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-1.6054766255878399
69134523,2016,review,175,4,"['Guy Bendermacher', 'Mirjam G.A. oude Egbrink', 'Ineke H. A. P. Wolfhagen', 'Diana Dolmans']","['Maastricht University', 'Maastricht University', 'Maastricht University', 'Maastricht University']","[{'item': 43510795}, {'item': 32637939}, {'item': 50798499}, {'item': 46982693}, {'item': 59160963}, {'item': 20373662}, {'item': 25979716}, {'item': 32310466}, {'item': 24187806}, {'item': 88387098}, {'item': 62032846}, {'item': 98586688}, {'item': 30079184}, {'item': 61986807}, {'item': 67560605}, {'item': 38797407}, {'item': 50298562}, {'item': 93876887}, {'item': 27523101}, {'item': 88026070}, {'item': 11669513}, {'item': 87236725}, {'item': 47162295}, {'item': 4394366}, {'item': 19632574}, {'item': 67766204}, {'item': 29564262}, {'item': 6734554}, {'item': 3764512}, {'item': 12350161}, {'item': 25309508}, {'item': 17470886}, {'item': 29011578}, {'item': 19767020}, {'item': 90614568}, {'item': 76287533}, {'item': 72390077}, {'item': 68540129}, {'item': 45219831}, {'item': 51196364}, {'item': 86006456}, {'item': 93920594}, {'item': 26086977}, {'item': 10752143}, {'item': 26017197}, {'item': 1704390}, {'item': 8338806}, {'item': 50844971}, {'item': 43299979}, {'item': 13457330}, {'item': 22453020}, {'item': 92427040}, {'item': 30135019}, {'item': 75117614}, {'item': 83910793}, {'item': 17646799}, {'item': 27803095}]",Organizational culture,Quality (philosophy),Context (archaeology),"[{'display_name': 'Partnerships for the goals', 'id': 'https://metadata.un.org/sdg/17', 'score': 0.49}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,"{'value': 2390, 'currency': 'EUR', 'value_usd': 2990, 'provenance': 'doaj'}",Missing,-2.353892685289371
31651528,2016,article,162,4,"['Daphna Bassok', 'Maria Fitzpatrick', 'Erica Greenberg', 'Susanna Loeb']","['University of Virginia', 'Cornell University', 'Urban Institute', 'Stanford University']","[{'item': 70629919}, {'item': 82973162}, {'item': 93632716}, {'item': 65673935}, {'item': 78631867}, {'item': 44771600}, {'item': 35266422}, {'item': 37212900}, {'item': 51149566}, {'item': 79553303}, {'item': 68836150}, {'item': 40722873}, {'item': 53352759}, {'item': 19861}, {'item': 91258227}, {'item': 56982394}, {'item': 15751359}, {'item': 77696834}, {'item': 89185784}, {'item': 23355620}, {'item': 12987848}, {'item': 52341644}, {'item': 2977801}, {'item': 87564030}, {'item': 85596052}, {'item': 86394522}, {'item': 94388117}, {'item': 36353345}, {'item': 37559752}, {'item': 84519238}, {'item': 44935178}, {'item': 15802815}, {'item': 37434405}, {'item': 40251137}, {'item': 49110610}, {'item': 47429525}, {'item': 38214179}, {'item': 95013317}, {'item': 30158612}, {'item': 26598120}, {'item': 30282714}, {'item': 46618550}, {'item': 16056216}, {'item': 35007085}, {'item': 34339813}, {'item': 32707786}, {'item': 44888851}, {'item': 83775928}, {'item': 46643478}, {'item': 42029864}, {'item': 36719483}, {'item': 56617452}, {'item': 48593133}, {'item': 21040996}, {'item': 50435413}, {'item': 25656061}, {'item': 1564156}, {'item': 92730237}, {'item': 83496866}]",Psychology,Early childhood education,Developmental psychology,"[{'display_name': 'Quality education', 'id': 'https://metadata.un.org/sdg/4', 'score': 0.62}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-2.357217970413838
32308590,2016,article,153,3,"['Robert C. Pianta', 'Jason T. Downer', 'Bridget K. Hamre']",[],"[{'item': 60763925}, {'item': 87780451}, {'item': 37035902}, {'item': 70774058}, {'item': 8441397}, {'item': 38842142}, {'item': 15585164}, {'item': 83404156}, {'item': 51298510}, {'item': 67102606}, {'item': 44325883}, {'item': 77504388}, {'item': 31428836}, {'item': 40199563}, {'item': 80114925}, {'item': 13449177}, {'item': 77231716}, {'item': 31230164}, {'item': 49913823}, {'item': 44602139}, {'item': 56982394}, {'item': 59947595}, {'item': 25895605}, {'item': 24353760}, {'item': 40194728}, {'item': 82915395}, {'item': 97859598}, {'item': 30205580}, {'item': 86764131}, {'item': 92338741}, {'item': 92322573}, {'item': 39054996}, {'item': 44935178}, {'item': 82236804}, {'item': 93464902}, {'item': 44548030}, {'item': 71094051}, {'item': 28314963}, {'item': 7120347}, {'item': 60349189}, {'item': 10711360}, {'item': 53259202}, {'item': 49174628}, {'item': 54723423}, {'item': 56495337}, {'item': 57904226}, {'item': 832184}, {'item': 15607530}, {'item': 5382134}, {'item': 16938052}, {'item': 70498457}, {'item': 38214179}, {'item': 57262832}, {'item': 91600852}, {'item': 27308870}, {'item': 49572169}, {'item': 14854927}, {'item': 95013317}, {'item': 56651486}, {'item': 87196186}, {'item': 33518510}, {'item': 98549243}, {'item': 88487715}, {'item': 16021149}, {'item': 4949470}, {'item': 2523503}, {'item': 69174435}, {'item': 98747730}, {'item': 46643478}, {'item': 69480373}, {'item': 13774130}, {'item': 56375361}, {'item': 71865176}, {'item': 41414240}, {'item': 43972602}, {'item': 25656061}, {'item': 72147746}, {'item': 33072573}]",Quality (philosophy),Measure (data warehouse),Early childhood education,"[{'display_name': 'Quality education', 'id': 'https://metadata.un.org/sdg/4', 'score': 0.76}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-2.0297692268339778
62481135,2016,review,150,3,"['Jiming Zhu', 'Wenkai Li', 'Lincoln Chen']","['University of Oxford', 'China Medical Board']","[{'item': 76784271}, {'item': 16248339}, {'item': 24413039}, {'item': 92628664}, {'item': 9772352}, {'item': 43349064}, {'item': 90570704}, {'item': 64241941}, {'item': 50769871}, {'item': 74638214}, {'item': 69646239}, {'item': 69171860}, {'item': 29365003}, {'item': 46968637}]",Accreditation,Credentialing,China,[],Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-6.82902581119561
50791400,2016,review,149,6,"['Michal Perlman', 'Olesya Falenchuk', 'Brooke Fletcher', 'Evelyn McMullen', 'Joseph Beyene', 'Prakesh S. Shah']","['University of Toronto', 'University of Toronto', ""Alberta Children's Hospital"", 'University of Toronto', 'McMaster University', 'University of Toronto', 'Mount Sinai Hospital']","[{'item': 54098644}, {'item': 92236824}, {'item': 96344970}, {'item': 22244901}, {'item': 90928020}, {'item': 77996206}, {'item': 12589170}, {'item': 76727843}, {'item': 79553303}, {'item': 3396705}, {'item': 75554213}, {'item': 61810842}, {'item': 56427252}, {'item': 36559742}, {'item': 8692209}, {'item': 49913823}, {'item': 48981635}, {'item': 68866150}, {'item': 56982394}, {'item': 59947595}, {'item': 90932835}, {'item': 24353760}, {'item': 5073186}, {'item': 6325302}, {'item': 37791013}, {'item': 65698699}, {'item': 52341644}, {'item': 69157934}, {'item': 57868800}, {'item': 5896895}, {'item': 92338741}, {'item': 29211307}, {'item': 80352628}, {'item': 96274593}, {'item': 6971888}, {'item': 37559752}, {'item': 44935178}, {'item': 4391461}, {'item': 7120347}, {'item': 83030236}, {'item': 67050938}, {'item': 75990740}, {'item': 14854927}, {'item': 53507176}, {'item': 78177246}, {'item': 32763545}, {'item': 74874713}, {'item': 52303753}, {'item': 63465239}, {'item': 98747730}, {'item': 56127553}, {'item': 78432575}, {'item': 65711468}, {'item': 11046497}, {'item': 71865176}, {'item': 38994753}, {'item': 1564156}, {'item': 9172673}, {'item': 4953813}, {'item': 26853169}, {'item': 34842553}, {'item': 66021375}, {'item': 90926565}, {'item': 57833151}, {'item': 8594959}, {'item': 54225115}]",Meta-analysis,Medicine,Measure (data warehouse),"[{'display_name': 'Quality education', 'id': 'https://metadata.un.org/sdg/4', 'score': 0.75}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,"{'value': 1805, 'currency': 'USD', 'value_usd': 1805, 'provenance': 'doaj'}",Missing,-1.979402287306558
54401299,2016,article,148,3,"['Melissa Clark', 'Monica B. Fine', 'Cara-Lynn Scheuer']","['Coastal Carolina University', 'Conway School of Landscape Design', 'Coastal Carolina University', 'Conway School of Landscape Design', 'Coastal Carolina University', 'Conway School of Landscape Design']","[{'item': 33521568}, {'item': 40944455}, {'item': 3763996}, {'item': 343128}, {'item': 78004077}, {'item': 27379342}, {'item': 95334803}, {'item': 57799383}, {'item': 86727961}, {'item': 36444094}, {'item': 4576764}, {'item': 75511601}, {'item': 79433267}, {'item': 62111484}, {'item': 55920525}, {'item': 31224535}, {'item': 67368275}, {'item': 64536164}, {'item': 48032009}, {'item': 90210628}, {'item': 85752588}, {'item': 16808063}, {'item': 31480161}, {'item': 6083983}, {'item': 57842880}, {'item': 96790867}, {'item': 39038647}, {'item': 42465646}, {'item': 79129284}, {'item': 62614810}, {'item': 93912952}, {'item': 85653242}, {'item': 92679436}, {'item': 7231297}, {'item': 46709631}, {'item': 37737816}, {'item': 73429727}, {'item': 23930168}, {'item': 10425497}, {'item': 13381408}, {'item': 86726169}, {'item': 99271151}, {'item': 90816436}, {'item': 12951208}, {'item': 39505274}, {'item': 48123579}, {'item': 49037016}, {'item': 37646448}, {'item': 53094602}, {'item': 3619187}, {'item': 3253946}, {'item': 7109114}, {'item': 85061759}, {'item': 90926565}, {'item': 81419811}, {'item': 75837882}, {'item': 46422453}, {'item': 54262471}, {'item': 91303126}]",Popularity,Social media,Higher education,[],Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-3.838038505025845
84121501,2016,article,138,2,"['Nicholas Charron', 'Bo Rothstein']","['University of Gothenburg', 'Copenhagen Business School', 'University of Oxford', 'University of Gothenburg']","[{'item': 40602003}, {'item': 47100074}, {'item': 17640003}, {'item': 41202621}, {'item': 8015437}, {'item': 69034025}, {'item': 76621028}, {'item': 16743483}, {'item': 60329810}, {'item': 83654800}, {'item': 32490554}, {'item': 49712133}, {'item': 60014920}, {'item': 61300620}, {'item': 29720739}, {'item': 8434695}, {'item': 35094893}, {'item': 84101701}, {'item': 91704362}, {'item': 17131941}, {'item': 81125815}, {'item': 44532749}, {'item': 42432828}, {'item': 5202625}, {'item': 63730206}, {'item': 92267452}, {'item': 62957256}, {'item': 45845501}, {'item': 82651688}, {'item': 96899001}, {'item': 4261850}, {'item': 65101437}, {'item': 13994134}, {'item': 820233}, {'item': 20708719}, {'item': 8040284}, {'item': 52292626}, {'item': 41054166}, {'item': 36079642}, {'item': 43571492}, {'item': 82265753}, {'item': 31894539}, {'item': 63604181}, {'item': 18446883}, {'item': 92710399}, {'item': 20396945}, {'item': 60303196}, {'item': 87370341}, {'item': 1280739}, {'item': 10479878}, {'item': 62081893}, {'item': 18384139}, {'item': 97691903}, {'item': 43406766}, {'item': 27860966}, {'item': 64887905}, {'item': 56144010}, {'item': 8040927}, {'item': 11644502}, {'item': 90926565}, {'item': 46775983}, {'item': 32945683}, {'item': 52596453}]",Nexus (standard),Language change,European Social Survey,"[{'display_name': 'Peace, justice, and strong institutions', 'id': 'https://metadata.un.org/sdg/16', 'score': 0.8}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-3.7046557560285005
94402728,2016,article,135,2,"['Sojin Jung', 'Byoungho Jin']","['Hong Kong Polytechnic University', 'University of North Carolina at Greensboro']","[{'item': 12014325}, {'item': 66816388}, {'item': 99859731}, {'item': 36126357}, {'item': 19890275}, {'item': 44839585}, {'item': 3833085}, {'item': 61843642}, {'item': 22286206}, {'item': 48832112}, {'item': 52953754}, {'item': 505284}, {'item': 57204324}, {'item': 98456149}, {'item': 77071484}, {'item': 50140166}, {'item': 55812909}, {'item': 70114288}, {'item': 28400656}, {'item': 22904446}, {'item': 88482809}, {'item': 54358444}, {'item': 45110363}, {'item': 44786172}, {'item': 19801349}, {'item': 62812710}, {'item': 18257264}, {'item': 8346511}, {'item': 69868533}, {'item': 79095815}, {'item': 9026225}, {'item': 68229363}, {'item': 78385950}, {'item': 61507331}, {'item': 92462180}, {'item': 62937947}, {'item': 94482775}, {'item': 79322576}, {'item': 71496907}, {'item': 42969063}, {'item': 4863763}]",Clothing,Fast fashion,Marketing,"[{'display_name': 'Industry, innovation and infrastructure', 'id': 'https://metadata.un.org/sdg/9', 'score': 0.47}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-4.581165617890811
69516488,2016,article,125,2,"['Maarten Goos', 'Anna Salomons']","['Utrecht University', 'Utrecht University']","[{'item': 51582373}, {'item': 61125137}, {'item': 71797333}, {'item': 38961902}, {'item': 85424207}, {'item': 50672497}, {'item': 93739642}, {'item': 56166003}, {'item': 1921652}, {'item': 59916532}, {'item': 29175750}, {'item': 24359852}, {'item': 63276443}, {'item': 16172347}, {'item': 28078851}, {'item': 11958041}, {'item': 22914007}, {'item': 3270139}, {'item': 50472701}, {'item': 93216827}, {'item': 98741276}, {'item': 17702060}, {'item': 34716402}, {'item': 93707914}, {'item': 63279117}, {'item': 48929356}, {'item': 31873597}, {'item': 84175856}, {'item': 29735889}, {'item': 26036690}, {'item': 74791128}, {'item': 15422860}, {'item': 38701267}, {'item': 34259438}, {'item': 31117276}, {'item': 5819858}, {'item': 14541013}, {'item': 20079215}, {'item': 25300289}, {'item': 39478613}, {'item': 66059735}, {'item': 77240198}, {'item': 63301824}, {'item': 2126556}, {'item': 82414119}, {'item': 1511835}, {'item': 38291396}, {'item': 7990214}, {'item': 9826299}, {'item': 66896152}, {'item': 75815222}, {'item': 3201435}, {'item': 96614489}, {'item': 97185627}, {'item': 59072623}, {'item': 37665801}, {'item': 62799982}, {'item': 79231466}, {'item': 94328446}, {'item': 35160681}, {'item': 30399566}, {'item': 9255085}, {'item': 29269566}, {'item': 31923024}, {'item': 75947705}, {'item': 26076956}, {'item': 48365514}, {'item': 12962571}, {'item': 77018438}, {'item': 16896105}, {'item': 66183087}, {'item': 87935337}, {'item': 93172433}, {'item': 6807729}, {'item': 42881093}, {'item': 507250}, {'item': 84496875}, {'item': 75798123}, {'item': 36920709}, {'item': 68720135}, {'item': 48449921}, {'item': 90989452}, {'item': 94505209}, {'item': 60727120}, {'item': 43360891}, {'item': 23881419}, {'item': 31389484}, {'item': 40377976}, {'item': 74508058}, {'item': 38692132}, {'item': 34077807}, {'item': 39473206}, {'item': 97607944}]",Higher education,Ranking (information retrieval),Selection bias,"[{'display_name': 'Quality education', 'id': 'https://metadata.un.org/sdg/4', 'score': 0.76}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,"{'value': 2090, 'currency': 'EUR', 'value_usd': 2690, 'provenance': 'doaj'}",Missing,-2.3872799418201063
797286,2016,article,120,1,['Vijaya Sunder M'],['Indian Institute of Technology Madras'],"[{'item': 81220885}, {'item': 26167457}, {'item': 93872699}, {'item': 62781593}, {'item': 75749138}, {'item': 44492906}, {'item': 68583749}, {'item': 31495728}, {'item': 52062006}, {'item': 60341698}, {'item': 55505077}, {'item': 32675349}, {'item': 56281176}, {'item': 4818798}, {'item': 38852968}, {'item': 51264705}, {'item': 46871662}, {'item': 93078414}, {'item': 99045894}, {'item': 64655840}, {'item': 96617916}, {'item': 52375884}, {'item': 53183095}, {'item': 19068256}, {'item': 14148018}, {'item': 87911767}, {'item': 89346749}, {'item': 32884174}, {'item': 96356239}, {'item': 54538767}, {'item': 58592523}, {'item': 82524215}, {'item': 38516426}, {'item': 74402560}, {'item': 82885366}, {'item': 32418676}, {'item': 37080046}, {'item': 91173141}, {'item': 14899968}, {'item': 5362291}, {'item': 1125399}, {'item': 4970525}, {'item': 19767020}, {'item': 29913116}, {'item': 21908041}, {'item': 48936143}, {'item': 97347391}, {'item': 16210957}, {'item': 49144184}, {'item': 96890146}, {'item': 44583166}, {'item': 40534161}, {'item': 23350037}, {'item': 38798641}, {'item': 9088136}, {'item': 90748251}, {'item': 40461409}, {'item': 12735751}, {'item': 59666983}, {'item': 37737816}, {'item': 77539766}, {'item': 62764315}, {'item': 96677214}, {'item': 70514976}, {'item': 6400946}, {'item': 7397139}, {'item': 21227097}, {'item': 71313528}, {'item': 21287338}, {'item': 2049175}, {'item': 86616228}, {'item': 21667053}, {'item': 34651789}, {'item': 78964472}, {'item': 37085814}, {'item': 26045658}, {'item': 59282572}, {'item': 36743364}, {'item': 94479770}, {'item': 13230955}, {'item': 40317600}, {'item': 80431710}, {'item': 75698392}, {'item': 6521851}, {'item': 14618963}, {'item': 11116150}, {'item': 90926565}, {'item': 77933782}, {'item': 7966196}, {'item': 50346079}, {'item': 42995370}, {'item': 6286560}, {'item': 72976748}]",Kaizen,Lean Six Sigma,Six Sigma,"[{'display_name': 'Industry, innovation and infrastructure', 'id': 'https://metadata.un.org/sdg/9', 'score': 0.47}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-1.90770686155822
42003237,2016,article,112,1,['R.B. Galeeva'],[],"[{'item': 30845314}, {'item': 31493705}, {'item': 8317804}, {'item': 51217416}, {'item': 6090849}, {'item': 48947312}, {'item': 76774757}, {'item': 26315505}, {'item': 41865820}, {'item': 47764773}, {'item': 1100357}, {'item': 37106945}, {'item': 51665753}, {'item': 67634830}, {'item': 72733348}, {'item': 97011105}, {'item': 77879746}, {'item': 44503614}, {'item': 67122697}, {'item': 66134387}, {'item': 73757133}, {'item': 96352579}, {'item': 48066552}, {'item': 16942998}, {'item': 63721879}, {'item': 26407563}, {'item': 79431259}, {'item': 96100004}, {'item': 89132778}, {'item': 96911543}, {'item': 6886087}, {'item': 30734570}, {'item': 15812796}, {'item': 34626214}, {'item': 24963528}, {'item': 55675024}, {'item': 18281575}, {'item': 19487419}, {'item': 44876623}, {'item': 17341241}, {'item': 61385616}, {'item': 25069746}, {'item': 32880960}, {'item': 74609486}, {'item': 92580984}, {'item': 53641569}, {'item': 98471333}, {'item': 21507597}, {'item': 42356381}, {'item': 34323829}]",SERVQUAL,Service quality,Adaptation (eye),[],Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-1.967975697812561
56297647,2016,article,98,2,"['Lena Schlesinger', 'Armin Jentsch']","['Universität Hamburg', 'Universität Hamburg']","[{'item': 74169653}, {'item': 84582462}, {'item': 1775748}, {'item': 41292071}, {'item': 92217021}, {'item': 49036620}, {'item': 2584016}, {'item': 64729721}, {'item': 72710033}, {'item': 96603729}, {'item': 77428325}, {'item': 82212042}, {'item': 66370550}, {'item': 75901227}, {'item': 47304912}, {'item': 24869105}, {'item': 79613870}, {'item': 98009227}, {'item': 39617039}, {'item': 74049826}, {'item': 3986013}, {'item': 53148264}, {'item': 83646610}, {'item': 89736551}, {'item': 86660748}, {'item': 60414564}, {'item': 37879683}, {'item': 32417026}, {'item': 75263976}, {'item': 17782678}, {'item': 69615511}, {'item': 13185376}, {'item': 3329973}, {'item': 82015673}, {'item': 81246278}, {'item': 67661990}, {'item': 2876344}, {'item': 61933822}, {'item': 51890005}, {'item': 72704384}, {'item': 48666722}, {'item': 36122597}, {'item': 7252632}, {'item': 13393978}, {'item': 43917860}, {'item': 52757928}, {'item': 93728088}, {'item': 34217473}, {'item': 85254133}, {'item': 67389151}, {'item': 52180670}, {'item': 84874394}, {'item': 76051102}, {'item': 42437132}, {'item': 8314196}, {'item': 8983872}, {'item': 36928364}, {'item': 20325459}, {'item': 12337926}]",Conceptualization,Perspective (graphical),Observational study,"[{'display_name': 'Quality education', 'id': 'https://metadata.un.org/sdg/4', 'score': 0.8}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-2.9932067371338347
50658021,2016,article,92,2,"['Murty Magda Pane', 'Rina Patriana']","['Binus University', 'Binus University']","[{'item': 62983694}, {'item': 29716709}, {'item': 90926565}]",Interview,Character (mathematics),Psychology,"[{'display_name': 'Life on land', 'id': 'https://metadata.un.org/sdg/15', 'score': 0.52}, {'display_name': 'Responsible consumption and production', 'id': 'https://metadata.un.org/sdg/12', 'score': 0.42}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-3.906309707303117
18513400,2016,article,91,3,"['Gopalakrishnan Saroja Seethapathy', 'Santhosh Kumar J. Urumarudappa', 'A. S. Hareesha']","['University of Agricultural Sciences, Bangalore', 'University of Oslo', 'Kuvempu University', 'University of Oslo', 'Kuvempu University', 'University of Agricultural Sciences, Bangalore', 'University of Agricultural Sciences, Bangalore', 'University of Oslo', 'Kuvempu University']","[{'item': 2188411}, {'item': 73205527}, {'item': 7785716}, {'item': 58649280}, {'item': 33817696}, {'item': 93965014}, {'item': 18513400}, {'item': 79130613}, {'item': 96304620}, {'item': 38462563}]",Quality (philosophy),Political science,Geography,"[{'display_name': 'No poverty', 'id': 'https://metadata.un.org/sdg/1', 'score': 0.46}]",Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-7.564475371446245
29108032,2016,article,89,2,"['Rebecca Schendel', 'Tristan McCowan']",[],"[{'item': 14939328}, {'item': 89763759}, {'item': 66755929}, {'item': 85001621}, {'item': 90023748}, {'item': 58081480}, {'item': 12380781}, {'item': 21999998}, {'item': 34688715}, {'item': 31507306}, {'item': 37629656}, {'item': 46624873}, {'item': 815267}, {'item': 77954246}, {'item': 53596792}, {'item': 15362330}, {'item': 37232272}, {'item': 65876618}]",Higher education,Equity (law),Low income,[],Missing,Missing,Missing,Missing,Missing,Missing,Missing,,Missing,-6.292497838006251
